User,Lat,Lng,Sent,Arrived
publisher1,67.20565542114524,-7.276554744286181,1435204306542,1435204306553
publisher1,67.20565538670118,-7.2765549587141445,1435204307557,1435204307562
publisher1,67.20565535225711,-7.276555173142105,1435204308562,1435204308567
publisher1,67.20565531781304,-7.276555387570067,1435204309564,1435204309567
publisher1,67.20565524892493,-7.276555816425986,1435204311568,1435204311570
publisher1,67.20565528336898,-7.276555601998027,1435204310565,1435204311580
publisher1,67.20565521448084,-7.2765560308539445,1435204312571,1435204312573
publisher1,67.20565518003679,-7.276556245281903,1435204313575,1435204313577
publisher1,67.20565514559273,-7.2765564597098615,1435204314577,1435204314581
publisher1,67.2056550767046,-7.276556888565774,1435204316587,1435204316590
publisher1,67.20565511114867,-7.276556674137819,1435204315582,1435204316592
publisher1,67.20565504226053,-7.2765571029937295,1435204317592,1435204317595
publisher1,67.20565500781646,-7.276557317421685,1435204318599,1435204318602
publisher1,67.2056549733724,-7.27655753184964,1435204319599,1435204319602
publisher1,67.20565490448425,-7.276557960705548,1435204321605,1435204321607
publisher1,67.20565493892833,-7.276557746277594,1435204320603,1435204321615
publisher1,67.20565487004019,-7.2765581751335,1435204322606,1435204322610
publisher1,67.20565483559612,-7.276558389561453,1435204323613,1435204323617
publisher1,67.20565480115206,-7.276558603989403,1435204324618,1435204324621
publisher1,67.20565473226392,-7.276559032845305,1435204326630,1435204326634
publisher1,67.205654766708,-7.276558818417356,1435204325625,1435204326643
publisher1,67.20565469781987,-7.276559247273255,1435204327633,1435204327636
publisher1,67.2056546633758,-7.276559461701204,1435204328636,1435204328640
publisher1,67.20565462893173,-7.2765596761291516,1435204329639,1435204329642
publisher1,67.20565456004358,-7.276560104985047,1435204331647,1435204331650
publisher1,67.20565459448767,-7.276559890557101,1435204330644,1435204331652
publisher1,67.20565452559953,-7.276560319412995,1435204332649,1435204332651
publisher1,67.20565449115543,-7.27656053384094,1435204333651,1435204333654
publisher1,67.20565445671139,-7.276560748268886,1435204334653,1435204334655
publisher1,67.20565438782323,-7.2765611771247745,1435204336661,1435204336664
publisher1,67.2056544222673,-7.276560962696831,1435204335658,1435204336677
publisher1,67.20565435337916,-7.276561391552717,1435204337663,1435204337666
publisher1,67.20565431893509,-7.276561605980662,1435204338667,1435204338670
publisher1,67.20565428449102,-7.276561820408603,1435204339670,1435204339673
publisher1,67.20565421560289,-7.276562249264487,1435204341676,1435204341679
publisher1,67.20565425004695,-7.276562034836545,1435204340673,1435204341682
publisher1,67.2056541811588,-7.276562463692426,1435204342678,1435204342681
publisher1,67.20565414671472,-7.276562678120366,1435204343682,1435204343685
publisher1,67.20565411227065,-7.276562892548306,1435204344685,1435204344689
publisher1,67.2056540433825,-7.276563321404183,1435204346692,1435204346694
publisher1,67.20565407782658,-7.276563106976245,1435204345688,1435204346696
publisher1,67.20565400893844,-7.2765635358321195,1435204347693,1435204347696
publisher1,67.20565397449437,-7.276563750260057,1435204348696,1435204348698
publisher1,67.20565394005031,-7.276563964687994,1435204349701,1435204349706
publisher1,67.20565387116216,-7.276564393543863,1435204351707,1435204351710
publisher1,67.20565390560623,-7.276564179115929,1435204350704,1435204351711
publisher1,67.20565383671806,-7.276564607971798,1435204352710,1435204352712
publisher1,67.20565380227399,-7.276564822399731,1435204353713,1435204353715
publisher1,67.20565376782992,-7.276565036827664,1435204354716,1435204354717
publisher1,67.20565369894176,-7.276565465683529,1435204356722,1435204356725
publisher1,67.20565373338583,-7.276565251255597,1435204355719,1435204356735
publisher1,67.20565366449769,-7.27656568011146,1435204357725,1435204357727
publisher1,67.20565363005362,-7.276565894539391,1435204358728,1435204358732
publisher1,67.20565359560952,-7.27656610896732,1435204359731,1435204359735
publisher1,67.20565352672138,-7.276566537823179,1435204361737,1435204361741
publisher1,67.20565356116545,-7.276566323395251,1435204360735,1435204361749
publisher1,67.2056534922773,-7.2765667522511075,1435204362744,1435204362749
publisher1,67.20565345783322,-7.276566966679036,1435204363747,1435204363750
publisher1,67.20565342338914,-7.276567181106962,1435204364753,1435204364756
publisher1,67.20565335450098,-7.2765676099628145,1435204366764,1435204366770
publisher1,67.20565338894505,-7.276567395534889,1435204365759,1435204366771
publisher1,67.20565332005688,-7.27656782439074,1435204367766,1435204367771
publisher1,67.20565328561281,-7.276568038818665,1435204368776,1435204368779
publisher1,67.20565325116875,-7.276568253246589,1435204369779,1435204369783
publisher1,67.2056531822806,-7.276568682102434,1435204371786,1435204371790
publisher1,67.20565321672467,-7.276568467674513,1435204370782,1435204371793
